image_link,group_id,entity_name,entity_value
https://m.media-amazon.com/images/I/81Vk8i3rUlL.jpg,483370,item_weight,0.16666666666666666 ounce
https://m.media-amazon.com/images/I/61optzuC7sL.jpg,523149,item_weight,12.0 gram
https://m.media-amazon.com/images/I/61l6gJd+PiL.jpg,416664,item_weight,61.2 gram
https://m.media-amazon.com/images/I/81YNZIePeyL.jpg,179080,wattage,500.0 watt
https://m.media-amazon.com/images/I/81nhuJa7eDL.jpg,529606,item_weight,9.0 ounce
https://m.media-amazon.com/images/I/51DfqA+kgnL.jpg,832798,width,2.7 centimetre
https://m.media-amazon.com/images/I/41QMoyLDdeL.jpg,682898,width,0.8 inch
https://m.media-amazon.com/images/I/41YhbeqyTiL.jpg,861555,depth,12.7 centimetre
https://m.media-amazon.com/images/I/41LCYU7lZJL.jpg,442321,width,1200.0 millimetre
https://m.media-amazon.com/images/I/71Nsqq8RljL.jpg,152339,item_weight,3.3 pound
https://m.media-amazon.com/images/I/71FGCjUndfL.jpg,810266,item_weight,290.0 gram
https://m.media-amazon.com/images/I/41j7AOBI0sL.jpg,365637,item_weight,125 gram
https://m.media-amazon.com/images/I/41iy-eSI1NL.jpg,130202,width,0.4 inch
https://m.media-amazon.com/images/I/61P1mjUGHxL.jpg,299791,item_weight,8.0 gram
https://m.media-amazon.com/images/I/41EUIJJnbqL.jpg,304120,depth,194.0 millimetre
https://m.media-amazon.com/images/I/818ptdGlQhL.jpg,459516,item_weight,1000.0 milligram
https://m.media-amazon.com/images/I/51nLlVGHJJL.jpg,881883,width,71.0 inch
https://m.media-amazon.com/images/I/719-4Q-dbCL.jpg,281678,item_volume,0.68 fluid ounce
https://m.media-amazon.com/images/I/61ASjoX1HlL.jpg,362818,depth,8.0 inch
https://m.media-amazon.com/images/I/517MUfEYRVL.jpg,544448,width,1.0 inch
https://m.media-amazon.com/images/I/619Tqy804mL.jpg,483370,depth,30.0 centimetre
https://m.media-amazon.com/images/I/61POts7r2DL.jpg,299791,item_weight,22.6 gram
https://m.media-amazon.com/images/I/81XhoYVfQUL.jpg,308671,item_weight,"[800.0, 850.0] gram"
https://m.media-amazon.com/images/I/811wJmGN2JL.jpg,866516,item_weight,1.7 pound
https://m.media-amazon.com/images/I/612RgXO7AZL.jpg,993359,item_weight,100 gram
https://m.media-amazon.com/images/I/61EH2cB2qzL.jpg,849273,depth,12.0 centimetre
https://m.media-amazon.com/images/I/41vTw4pboAL.jpg,273748,item_weight,0.95 kilogram
https://m.media-amazon.com/images/I/61+b6dxmhGL.jpg,734280,width,4.0 centimetre
https://m.media-amazon.com/images/I/41STUn6uwsL.jpg,648011,height,55.0 millimetre
https://m.media-amazon.com/images/I/51lTsLgmo9L.jpg,178778,width,6.7 centimetre
https://m.media-amazon.com/images/I/610qBj-ZVlL.jpg,501250,width,1200.0 millimetre
https://m.media-amazon.com/images/I/51ScUqUs-cL.jpg,836556,width,4.0 centimetre
https://m.media-amazon.com/images/I/41DfDqNcOIS.jpg,412008,width,207.0 centimetre
https://m.media-amazon.com/images/I/51+-DiNhE3L.jpg,658003,height,6.2 centimetre
https://m.media-amazon.com/images/I/51YDw0MPdvL.jpg,598375,width,4.1 centimetre
https://m.media-amazon.com/images/I/61Hy-i5yKQL.jpg,630390,item_weight,2.0 pound
https://m.media-amazon.com/images/I/61CAVGiYtPL.jpg,858439,width,0.7 inch
https://m.media-amazon.com/images/I/6189m9HXFjS.jpg,913156,depth,10.0 centimetre
https://m.media-amazon.com/images/I/51Oya6QqIIL.jpg,120569,item_weight,1.0 kilogram
https://m.media-amazon.com/images/I/51ic6OxhfnL.jpg,681445,height,5.0 centimetre
https://m.media-amazon.com/images/I/51Antn97HdL.jpg,442321,width,31.5 inch
https://m.media-amazon.com/images/I/51QM3IbBWsL.jpg,175315,height,43.0 centimetre
https://m.media-amazon.com/images/I/51w2WTMuNQL.jpg,483370,item_weight,90.0 gram
https://m.media-amazon.com/images/I/31fvvSDXjTL.jpg,849273,width,7.0 centimetre
https://m.media-amazon.com/images/I/71C8Ul0IffL.jpg,130591,item_weight,1.3 pound
https://m.media-amazon.com/images/I/51hpxd91ZML.jpg,120569,item_weight,15 gram
https://m.media-amazon.com/images/I/71lGhyWOZmS.jpg,459516,item_weight,6.2 milligram
https://m.media-amazon.com/images/I/51TsaK2j4fL.jpg,478357,height,32.0 centimetre
https://m.media-amazon.com/images/I/81+YNhYknEL.jpg,308856,item_weight,2.2 pound
https://m.media-amazon.com/images/I/41BrVrSROhL.jpg,681445,depth,10.0 centimetre
https://m.media-amazon.com/images/I/619XgXApHGL.jpg,658003,depth,29.5 centimetre
https://m.media-amazon.com/images/I/51r9gjVbDiL.jpg,988675,height,5.2 inch
https://m.media-amazon.com/images/I/61DbTdvRdsL.jpg,916768,width,9.0 inch
https://m.media-amazon.com/images/I/51wbUpbYd+L.jpg,220662,height,100.0 millimetre
https://m.media-amazon.com/images/I/81Z3e1jpAjL.jpg,120219,maximum_weight_recommendation,44.0 pound
https://m.media-amazon.com/images/I/51ZwFyvIvDL.jpg,970563,width,8.0 centimetre
https://m.media-amazon.com/images/I/61Ee--Vj5zL.jpg,849273,height,14.5 inch
https://m.media-amazon.com/images/I/51j7ud1HxpL.jpg,639268,depth,250.0 centimetre
